Date,1 (Horizons),2 (Town Hill small),3 (Town Hill med),4 (Town Hill long),5 (TNB 1; Beach cam),6 (TNB2),7 (TNB3; east stairs),8 (TNB4),9 (TNB5; owash),10 (W. Jetty),11 (E. Jetty)
3/9/2018,NaN,NaN,NaN,2,0,0,1,1,0,1,0
2/27/2018,0,0,1,2,1,0,1,1,0,1,0
1/10/2018,NaN,NaN,NaN,0,1,1,1,0,0,0,-1
1/3/2018,NaN,NaN,NaN,NaN,1,0,1,1,NaN,NaN,NaN
9/18/2017,NaN,NaN,NaN,2,1,0,1,0,0,0,0
5/4/2017,NaN,NaN,NaN,1,1,0,0,0,0,0,0
4/14/2017,1,0,1,2,0,1,0,0,0,0,0
3/16/2017,NaN,NaN,NaN,1,1,0,0,1,0,0,-1
2/14/2017,NaN,NaN,NaN,2,1,0,0,0,0,0,0
1/25/2017,NaN,NaN,NaN,NaN,1,0,1,0,0,0,-1
1/9/2017,NaN,NaN,NaN,1,1,0,1,1,0,-1,-1
10/10/2016,2,1,0,1,0,0,1,1,1,0,-1
9/21/2016,NaN,NaN,NaN,1,-1,0,1,1,0,-1,-2
5/10/2016,2,0,0,1,0,0,1,0,0,-1,-2
3/30/2016,NaN,NaN,NaN,1,1,0,1,0,0,1,-1
1/25/2016,NaN,NaN,NaN,-1,1,0,1,1,0,1,0
1/22/2016,NaN,NaN,NaN,1,1,0,1,1,0,-1,-2
5/23/2015,1,0,0,1,-1,0,1,0,1,1,-2
1/29/2015,NaN,NaN,NaN,NaN,-2,0,-1,-1,0,1,-2
6/15/2014,1,0,0,2,1,-1,0,1,0,1,1
8/30/2012,1,1,1,2,2,0,1,0,0,0,0
3/11/2012,1,0,0,2,1,0,1,1,0,1,1
12/31/2009,1,0,1,1,-2,-1,0,1,0,1,1
5/20/2010,0,1,0,1,1,0,0,1,0,1,1
7/2/2008,0,0,0,1,0,0,0,1,0,1,-1
7/28/2007,1,1,0,0,1,1,1,1,1,1,1
7/6/2003,0,0,0,1,-1,0,1,0,0,1,0
3/31/2005,1,0,0,2,1,0,1,0,0,1,0
12/31/2003,1,0,0,0,1,0,0,1,0,1,1
7/6/2003,1,0,0,1,0,0,1,1,0,1,1
12/31/2000,1,0,-1,-1,-1,0,1,1,1,2,0
3/1/1995,1,0,0,2,1,1,1,1,0,2,2
4/3/1991,1,1,-1,2,1,0,0,1,0,2,2
